Codigo,Aerodromo,Cidade,Sigla,Primeira,Segunda,Taxa,
SBGR,Aeroporto Internacional de São Paulo,Guarulhos,SP,4.139.351,2.161.684,-47.78,
SBSP,Aeroporto de São Paulo/Congonhas,São Paulo,SP,1.844.738,663.138,-64.05,
SBBR,Aeroporto Internacional de Brasília,Brasília,DF,1.844.738,944.161,-38.95,
SBGL,Aeroporto Internacional do Rio de Janeiro,Rio de Janeiro,RJ,1.165.101,292.791,-74.87,
SBRJ,Aeroporto do Rio de Janeiro,Rio de Janeiro,RJ,964.821,595.698,-38.26,
SBKP,Aeroporto Internacional de Viracopos/Campinas,Campinas,SP,886.502,777.232,-12.33,
SBRF,Aeroporto Internacional de Recife,Recife,PE,815.132,649.502,-20.32,
SBSV,Aeroporto Internacional de Salvador,Salvador,BA,723.408,473.822,-34.5,
